Dimension;Cluster;Seed_words;Synonym;Synonyms_adjusted;Similarity_Score
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];variable_cost;variable cost;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];cost_elements;cost elements;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];marginal_cost;marginal cost;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];fixed_cost;fixed cost;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];direct_cost;direct cost;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];incremental_cost;incremental cost;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];specific_costs;specific costs;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];discretionary_costs;discretionary costs;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];overhead_costs;overhead costs;0.748393655
Cost;4;['cost_control'];cost_control;cost control;0.999999881
Cost;4;['cost_control'];cost_controls;cost controls;0.571879804
Cost;4;['cost_control'];expense_control;expense control;0.574338436
Cost;4;['cost_control'];working_capital_management;working capital management;0.510103583
Cost;4;['cost_control'];improving_margins;improving margins;0.505931616
Cost;4;['cost_control'];reducing_costs;reducing costs;0.502207637
Cost;5;['cost_accounting', 'historical_cost_accounting'];cost_accounting;cost accounting;0.859907687
Cost;5;['cost_accounting', 'historical_cost_accounting'];historical_cost_accounting;historical cost accounting;0.587656319
Cost;5;['cost_accounting', 'historical_cost_accounting'];historical_cost_depreciation;historical cost depreciation;0.33395502
Cost;5;['cost_accounting', 'historical_cost_accounting'];cost_accounting_standards;cost accounting standards;0.326920271
Cost;1;['continuous_improvement', 'process_improvements', 'process_improvement'];cost_efficiencies;cost efficiencies;0.561144948
Cost;1;['continuous_improvement', 'process_improvements', 'process_improvement'];drive_margin_expansion;drive margin expansion;0.536687732
Cost;5;['inventory_management', 'capacity_utilization'];product_cost;product cost;0.442180216
Cost;1;['pricing_strategy', 'strategic_pricing'];cost_base;cost base;0.475749135
Cost;2;['product_pricing', 'value_pricing', 'premium_pricing', 'market_pricing', 'dynamic_pricing'];raw_material_costs;raw material costs;0.42838335
Financing/Investment;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];weighted_average_cost_of_capital;weighted average cost of capital;0.471029729
Financing/Investment;2;['budgeting', 'budgeting_process'];tax_planning;tax planning;0.426463038
Financing/Investment;5;['business_planning'];liquidity_policies;liquidity policies;0.436657727
Financing/Investment;5;['business_planning'];capital_management;capital management;0.453824371
Financing/Investment;4;['resource_allocation'];investment_decisions;investment decisions;0.460964769
Financing/Investment;2;['cost_management'];financial_discipline;financial discipline;0.503804326
Financing/Investment;2;['cost_management'];portfolio_optimization;portfolio optimization;0.538247347
Financing/Investment;4;['cost_control'];disciplined_capital_allocation;disciplined capital allocation;0.537271917
Financing/Investment;1;['cash_flow_analysis'];cash_flow_models;cash flow models;0.594109416
Financing/Investment;1;['cash_flow_analysis'];cash_flow_model;cash flow model;0.577109993
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flow_analysis;discounted cash flow analysis;0.571084261
Financing/Investment;1;['cash_flow_analysis'];cash_flow_analyses;cash flow analyses;0.567465127
Financing/Investment;1;['cash_flow_analysis'];probability_weighted_cash_flow_analysis;probability weighted cash flow analysis;0.544181645
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flow_approach;discounted cash flow approach;0.537900269
Financing/Investment;1;['cash_flow_analysis'];present_value_technique;present value technique;0.537896335
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flow_model;discounted cash flow model;0.529223859
Financing/Investment;1;['cash_flow_analysis'];income_based_approach;income based approach;0.5274055
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flow_method;discounted cash flow method;0.514889538
Financing/Investment;1;['cash_flow_analysis'];cash_flow_methodology;cash flow methodology;0.513284445
Financing/Investment;1;['cash_flow_analysis'];valuation_approach;valuation approach;0.502151489
Financing/Investment;1;['cash_flow_analysis'];undiscounted_cash_flow_analysis;undiscounted cash flow analysis;0.50149405
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flow_models;discounted cash flow models;0.499391407
Financing/Investment;1;['cash_flow_analysis'];estimate_of_fair_value;estimate of fair value;0.499368101
Financing/Investment;1;['cash_flow_analysis'];binomial_lattice_model;binomial lattice model;0.499033093
Financing/Investment;1;['cash_flow_analysis'];income_approach;income approach;0.498975247
Financing/Investment;1;['cash_flow_analysis'];income_method;income method;0.496985763
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flows_analysis;discounted cash flows analysis;0.496744573
Financing/Investment;1;['cash_flow_analysis'];fair_value_approach;fair value approach;0.493590057
Financing/Investment;1;['cash_flow_analysis'];market_valuation_approach;market valuation approach;0.492334753
Financing/Investment;1;['cash_flow_analysis'];discounted_cash_flows;discounted cash flows;0.489886999
Financing/Investment;1;['cash_flow_analysis'];discounted_future_cash_flow_analysis;discounted future cash flow analysis;0.489793926
Financing/Investment;1;['cash_flow_analysis'];cash_flow_approach;cash flow approach;0.489590526
Financing/Investment;1;['cash_flow_analysis'];valuation_approaches;valuation approaches;0.488514096
Financing/Investment;1;['cash_flow_analysis'];cash_flow_analysis;cash flow analysis;1
Financing/Investment;4;['financial_planning'];corporate_accounting;corporate accounting;0.48968181
Financing/Investment;4;['financial_planning'];corporate_finance;corporate finance;0.465290904
Financing/Investment;4;['financial_planning'];senior_vice_president_finance;senior vice president finance;0.464467466
Financing/Investment;4;['financial_planning'];vice_president_of_investor_relations;vice president of investor relations;0.457290858
Financing/Investment;4;['financial_planning'];investor_relations;investor relations;0.449721307
Financing/Investment;4;['financial_planning'];claims_management;claims management;0.446620941
Financing/Investment;4;['financial_planning'];vice_president_of_finance;vice president of finance;0.440669596
Financing/Investment;4;['financial_planning'];fund_accounting;fund accounting;0.434647381
Financing/Investment;4;['financial_planning'];director_of_investor_relations;director of investor relations;0.433212668
Financing/Investment;4;['financial_planning'];financial_management;financial management;0.470959991
Financing/Investment;4;['financial_planning'];financial_planning;financial planning;1
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];adjusted_roic;adjusted roic;0.557603657
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];eps_growth;eps growth;0.492953032
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];fcf;fcf;0.514701486
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];free_cash_flow;free cash flow;0.494461954
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];internal_rate_of_return;internal rate of return;0.674760461
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];irr;irr;1
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];capital_employed;capital employed;0.525615692
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];economic_income;economic income;0.519108295
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_on_capital;return on capital;0.518338859
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_on_invested_capital;return on invested capital;0.49930793
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_on_investment;return on investment;0.494333744
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];shareholder_return;shareholder return;0.489067018
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];operating_ratio;operating ratio;0.48714751
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_on_average_common_equity;return on average common equity;0.486957103
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];tangible_book_value_per_share;tangible book value per share;0.485650927
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];adjusted_free_cash_flow;adjusted free cash flow;0.484900802
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];cash_flow_return;cash flow return;0.481537551
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];dividend_payout_ratio;dividend payout ratio;0.472146422
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];book_value_per_share;book value per share;0.471634001
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];value_analysis;value analysis;1
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_of_investment;return of investment;1
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];return_on_capital_employed;return on capital employed;0.72582835
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];roce;roce;0.69676137
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];roi;roi;0.659363031
Financing/Investment;2;['roi', 'value_analysis', 'roce', 'return_on_capital_employed', 'irr', 'internal_rate_of_return', 'return_of_investment'];roic;roic;0.543513536
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation;capital allocation;0.793999672
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation_strategy;capital allocation strategy;0.555981696
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_budget;capital budget;0.775984347
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_program;capital program;0.632488549
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation_framework;capital allocation framework;0.531648517
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_investment_program;capital investment program;0.523480237
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];allocating_capital;allocating capital;0.5101946
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_investment;capital investment;0.490559876
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_deployment;capital deployment;0.4856022
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];planned_capital_expenditures;planned capital expenditures;0.481371522
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation_priorities;capital allocation priorities;0.475546926
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];free_cash_flow_generation;free cash flow generation;0.473517299
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_programs;capital programs;0.46098116
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];cash_deployment;cash deployment;0.460247368
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];investment_expenditures;investment expenditures;0.458604574
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_expenditure_budget;capital expenditure budget;0.455519021
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];disciplined_investment;disciplined investment;0.451804161
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_investments;capital investments;0.451689482
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation_process;capital allocation process;0.448956192
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];shareholder_value_creation;shareholder value creation;0.44856292
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];planned_capital_investments;planned capital investments;0.446230739
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capital_allocation_plan;capital allocation plan;0.445607275
Financing/Investment;3;['capital_budget', 'capital_allocation', 'capex'];capex;capex;1
