Dimension;US_Ranked;Seed_Word;Synonym;Synonyms_adjusted;Similarity_Score
Cost;3;cost_structure;overall_cost_structure;overall cost structure;0.615355909
Cost;1;allocation_of_costs;recovery_of_costs;recovery of costs;0.325672388
Cost;3;cost_structure;reduce_costs;reduce costs;0.493676722
Cost;4;cost_control;reducing_costs;reducing costs;0.502207637
Cost;4;cost_control;working_capital_management;working capital management;0.510103583
Cost;3;operating_cycle;accelerated_method_of_amortization;accelerated method of amortization;0.316191554
Cost;1;continuous_improvement;cost_improvement;cost improvement;0.499000639
Cost;2;product_pricing;cost_trends;cost trends;0.402776659
Cost;2;product_pricing;raw_material_costs;raw material costs;0.376066357
Cost;1;strategic_initiatives;cost_saving_initiatives;cost saving initiatives;0.472211182
Financing/Investment;5;business_planning;capital_management;capital management;0.453824371
Financing/Investment;2;budgeting;financial_management;financial management;0.419546306
Financing/Investment;4;resource_allocation;investment_decisions;investment decisions;0.460964769
Financing/Investment;5;business_planning;liquidity_policies;liquidity policies;0.436657727
Financing/Investment;2;budgeting;tax_planning;tax planning;0.43475616
Financing/Investment;1;allocation_of_costs;allocation_of_proceeds;allocation of proceeds;0.318478525
Financing/Investment;1;allocation_of_costs;allowed_return_on_equity;allowed return on equity;0.309183985
Financing/Investment;4;cost_control;disciplined_capital_allocation;disciplined capital allocation;0.537271857
Financing/Investment;2;cost_management;financial_discipline;financial discipline;0.503804326
Financing/Investment;2;cost_management;portfolio_optimization;portfolio optimization;0.538247347
Financing/Investment;3;capital_allocation;allocate_capital;allocate capital;0.475033909
Financing/Investment;3;capital_allocation;allocating_capital;allocating capital;0.535089493
Financing/Investment;3;capital_allocation;allocation_of_capital;allocation of capital;0.526601553
Financing/Investment;1;cash_flow_analysis;binomial_lattice_model;binomial lattice model;0.499033093
Financing/Investment;3;capital_allocation;capital_allocation;capital allocation;1
Financing/Investment;3;capital_allocation;capital_allocation_framework;capital allocation framework;0.481758833
Financing/Investment;3;capital_allocation;capital_allocation_priorities;capital allocation priorities;0.422112584
Financing/Investment;3;capital_allocation;capital_allocation_process;capital allocation process;0.432575077
Financing/Investment;3;capital_allocation;capital_allocation_strategy;capital allocation strategy;0.454139531
Financing/Investment;3;capital_allocation;capital_deployment;capital deployment;0.509396136
Financing/Investment;2;internal_rate_of_return;capitalization_rate;capitalization rate;0.391615123
Financing/Investment;1;cash_flow_analysis;cash_flow_analyses;cash flow analyses;0.567465067
Financing/Investment;1;cash_flow_analysis;cash_flow_analysis;cash flow analysis;1
Financing/Investment;1;cash_flow_analysis;cash_flow_approach;cash flow approach;0.489590526
Financing/Investment;1;cash_flow_analysis;cash_flow_methodology;cash flow methodology;0.513284445
Financing/Investment;1;cash_flow_analysis;cash_flow_model;cash flow model;0.577109993
Financing/Investment;1;cash_flow_analysis;cash_flow_models;cash flow models;0.594109416
Financing/Investment;4;financial_planning;claims_management;claims management;0.446620941
Financing/Investment;5;cost_benefit_analysis;comprehensive_capital_plan;comprehensive capital plan;0.367444873
Financing/Investment;2;internal_rate_of_return;approved_roe;approved roe;0.388013572
Financing/Investment;4;financial_planning;corporate_accounting;corporate accounting;0.48968181
Financing/Investment;4;financial_planning;corporate_finance;corporate finance;0.465290904
Financing/Investment;5;cost_benefit_analysis;cost_benefit_analysis;cost benefit analysis;1
Financing/Investment;2;internal_rate_of_return;cost_of_equity;cost of equity;0.380506128
Financing/Investment;2;internal_rate_of_return;cap_rate;cap rate;0.37581268
Financing/Investment;3;capital_allocation;capital_allocation_strategies;capital allocation strategies;0.427666485
Financing/Investment;2;internal_rate_of_return;capital_asset_pricing;capital asset pricing;0.372088462
Financing/Investment;2;internal_rate_of_return;discount_rate;discount rate;0.376949847
Financing/Investment;4;financial_planning;director_of_investor_relations;director of investor relations;0.433212668
Financing/Investment;3;capital_allocation;disciplined_investment;disciplined investment;0.468387395
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_technique;discounted cash flow technique;0.487433851
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_analysis;discounted cash flow analysis;0.571084261
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_approach;discounted cash flow approach;0.537900269
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_method;discounted cash flow method;0.514889479
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_model;discounted cash flow model;0.529223859
Financing/Investment;1;cash_flow_analysis;discounted_cash_flow_models;discounted cash flow models;0.499391407
Financing/Investment;2;internal_rate_of_return;enterprise_value;enterprise value;0.431814313
Financing/Investment;1;cash_flow_analysis;discounted_cash_flows;discounted cash flows;0.489886999
Financing/Investment;1;cash_flow_analysis;discounted_cash_flows_analysis;discounted cash flows analysis;0.496744573
Financing/Investment;1;cash_flow_analysis;discounted_future_cash_flow_analysis;discounted future cash flow analysis;0.489793926
Financing/Investment;2;internal_rate_of_return;equity_value;equity value;0.375472099
Financing/Investment;2;internal_rate_of_return;interest_rate_curve;interest rate curve;0.367723197
Financing/Investment;2;internal_rate_of_return;market_interest_rate;market interest rate;0.380336165
Financing/Investment;3;capital_allocation;maximize_shareholder_value;maximize shareholder value;0.443480134
Financing/Investment;2;internal_rate_of_return;equity_risk_premium;equity risk premium;0.385486454
Financing/Investment;1;cash_flow_analysis;estimate_of_fair_value;estimate of fair value;0.499368101
Financing/Investment;3;capital_allocation;returning_capital;returning capital;0.490676433
Financing/Investment;1;cash_flow_analysis;fair_value_approach;fair value approach;0.493590057
Financing/Investment;4;financial_planning;financial_planning;financial planning;1
Financing/Investment;3;capital_allocation;free_cash_flow_generation;free cash flow generation;0.464098871
Financing/Investment;4;financial_planning;fund_accounting;fund accounting;0.434647381
Financing/Investment;1;cash_flow_analysis;income_approach;income approach;0.498975247
Financing/Investment;1;cash_flow_analysis;income_based_approach;income based approach;0.5274055
Financing/Investment;1;cash_flow_analysis;income_method;income method;0.496985763
Financing/Investment;2;internal_rate_of_return;internal_rate_of_return;internal rate of return;1
Financing/Investment;4;financial_planning;investor_relations;investor relations;0.449721307
Financing/Investment;1;cash_flow_analysis;market_valuation_approach;market valuation approach;0.492334694
Financing/Investment;3;capital_allocation;returns_on_invested_capital;returns on invested capital;0.436780125
Financing/Investment;2;internal_rate_of_return;weighted_average_cost_of_capital;weighted average cost of capital;0.370448649
Financing/Investment;2;internal_rate_of_return;perpetuity_growth_rate;perpetuity growth rate;0.418314725
Financing/Investment;3;capital_allocation;portfolio_management;portfolio management;0.431117147
Financing/Investment;1;cash_flow_analysis;present_value_technique;present value technique;0.537896335
Financing/Investment;1;cash_flow_analysis;probability_weighted_cash_flow_analysis;probability weighted cash flow analysis;0.544181645
Financing/Investment;2;internal_rate_of_return;return_on_capital_employed;return on capital employed;0.376491964
Financing/Investment;5;cost_benefit_analysis;revised_capital_plan;revised capital plan;0.334186375
Financing/Investment;2;internal_rate_of_return;risk_adjusted_discount_rate;risk adjusted discount rate;0.408146828
Financing/Investment;5;cost_benefit_analysis;risk_based_approach;risk based approach;0.325145006
Financing/Investment;2;internal_rate_of_return;risk_free_rate;risk free rate;0.40379408
Financing/Investment;4;financial_planning;senior_vice_president_finance;senior vice president finance;0.464467466
Financing/Investment;3;capital_allocation;shareholder_returns;shareholder returns;0.453510165
Financing/Investment;3;capital_allocation;shareholder_value_creation;shareholder value creation;0.478957504
Financing/Investment;3;capital_allocation;sustainable_growth;sustainable growth;0.450470239
Financing/Investment;1;cash_flow_analysis;undiscounted_cash_flow_analysis;undiscounted cash flow analysis;0.50149405
Financing/Investment;1;cash_flow_analysis;valuation_approach;valuation approach;0.502151489
Financing/Investment;1;cash_flow_analysis;valuation_approaches;valuation approaches;0.488514096
Financing/Investment;4;financial_planning;vice_president_of_finance;vice president of finance;0.440669596
Financing/Investment;4;financial_planning;vice_president_of_investor_relations;vice president of investor relations;0.457290947
Financing/Investment;2;internal_rate_of_return;wacc;wacc;0.416580737
Financing/Investment;3;track_performance;long_term_capital_appreciation;long term capital appreciation;0.376050413
Financing/Investment;2;internal_reporting;irr;irr;0.436416149
Financing/Investment;1;internal_control;chief_financial_officer;chief financial officer;0.407355905
Financing/Investment;2;business_strategy;financial_strategy;financial strategy;0.48276934
Operations;2;budgeting;production_planning;production planning;0.408148706
Operations;2;budgeting;merchandise_planning;merchandise planning;0.412160099
Operations;2;budgeting;network_planning;network planning;0.388174415
Operations;1;forecasts;operating_plan;operating plan;0.475088388
Operations;3;planning;operations_support;operations support;0.418093055
Operations;3;planning;design_phase;design phase;0.48126179
Operations;3;planning;quality_assurance;quality assurance;0.422228456
Operations;4;resource_allocation;making_operating_decisions;making operating decisions;0.427052438
Operations;1;forecasts;operating_plans;operating plans;0.48669973
Operations;4;resource_allocation;operational_decisions;operational decisions;0.456956625
Operations;3;planning;program_management;program management;0.47691521
Operations;3;cost_structure;maximize_efficiencies;maximize efficiencies;0.474702716
Operations;2;cost_management;global_procurement;global procurement;0.497763783
Operations;4;cost_control;higher_productivity;higher productivity;0.502236307
Operations;3;cost_structure;improve_efficiencies;improve efficiencies;0.518408537
Operations;3;cost_structure;improve_productivity;improve productivity;0.442269027
Operations;3;cost_structure;improve_profitability;improve profitability;0.461134046
Operations;4;cost_control;improved_productivity;improved productivity;0.501870334
Operations;4;cost_control;increased_productivity;increased productivity;0.523735225
Operations;3;cost_structure;drive_efficiencies;drive efficiencies;0.463822812
Operations;2;cost_management;improving_productivity;improving productivity;0.512290418
Operations;2;cost_management;operational_excellence;operational excellence;0.553904355
Operations;2;cost_management;process_improvement;process improvement;0.553589404
Operations;3;cost_structure;operating_efficiencies;operating efficiencies;0.487218767
Operations;3;cost_structure;manufacturing_footprint;manufacturing footprint;0.502367795
Operations;2;cost_management;operational_improvement;operational improvement;0.522779584
Operations;2;cost_management;productivity_gains;productivity gains;0.560441971
Operations;2;cost_management;productivity_improvement;productivity improvement;0.491950601
Operations;4;cost_control;productivity_improvements;productivity improvements;0.501480639
Operations;3;capital_allocation;driving_operational_excellence;driving operational excellence;0.425299287
Operations;1;continuous_improvement;best_in_class;best in class;0.486547202
Operations;2;operations_management;business_management;business management;0.463538051
Operations;1;continuous_improvement;commercial_excellence;commercial excellence;0.479089886
Operations;1;continuous_improvement;continuous_improvement;continuous improvement;1
Operations;1;continuous_improvement;continuous_innovation;continuous innovation;0.459376335
Operations;1;continuous_improvement;continuously_improve;continuously improve;0.4584153
Operations;4;supply_chain_management;customer_management;customer management;0.496344566
Operations;5;inventory_management;customer_service;customer service;0.475390375
Operations;1;continuous_improvement;drive_continuous_improvement;drive continuous improvement;0.507613599
Operations;1;continuous_improvement;employee_development;employee development;0.494933069
Operations;4;supply_chain_management;global_manufacturing;global manufacturing;0.517648041
Operations;4;supply_chain_management;global_sourcing;global sourcing;0.517937124
Operations;4;supply_chain_management;inventory_control;inventory control;0.494844973
Operations;5;inventory_management;inventory_management;inventory management;1
Operations;5;inventory_management;inventory_management_systems;inventory management systems;0.487706006
Operations;5;inventory_management;inventory_planning;inventory planning;0.497730613
Operations;4;supply_chain_management;lean_manufacturing;lean manufacturing;0.500962377
Operations;4;supply_chain_management;logistics_management;logistics management;0.543749213
Operations;4;supply_chain_management;materials_management;materials management;0.48391968
Operations;4;supply_chain_management;merchandise_distribution;merchandise distribution;0.490778595
Operations;3;operating_cycle;operating_cycle;operating cycle;1
Operations;5;inventory_management;operational_effectiveness;operational effectiveness;0.450522691
Operations;2;operations_management;operational_functions;operational functions;0.465796024
Operations;2;operations_management;operations_management;operations management;1
Operations;4;supply_chain_management;order_entry;order entry;0.513590991
Operations;4;supply_chain_management;order_fulfillment;order fulfillment;0.571547449
Operations;4;supply_chain_management;order_management;order management;0.503739595
Operations;5;inventory_management;product_availability;product availability;0.477692664
Operations;2;operations_management;product_management;product management;0.464059949
Operations;1;continuous_improvement;quality_improvement;quality improvement;0.549002528
Operations;1;continuous_improvement;safety_leadership;safety leadership;0.466290474
Operations;3;operating_cycle;sales_cycle;sales cycle;0.314797074
Operations;4;supply_chain_management;scm;scm;0.48713389
Operations;1;continuous_improvement;service_excellence;service excellence;0.490349293
Operations;4;supply_chain_management;store_replenishment;store replenishment;0.492735237
Operations;4;supply_chain_management;strategic_sourcing;strategic sourcing;0.553974032
Operations;4;supply_chain_management;supply_chain_infrastructure;supply chain infrastructure;0.501634181
Operations;4;supply_chain_management;supply_chain_management;supply chain management;1
Operations;4;supply_chain_management;supply_management;supply management;0.49512893
Operations;1;continuous_improvement;talent_development;talent development;0.500993669
Operations;1;continuous_improvement;teamwork;teamwork;0.472362638
Operations;5;inventory_management;warehouse_management;warehouse management;0.497751117
Operations;5;inventory_management;fulfillment_options;fulfillment options;0.428135902
Operations;3;track_performance;efficiently_operating;efficiently operating;0.357622266
Operations;2;product_pricing;customer_inventory_levels;customer inventory levels;0.385921389
Operations;3;revenue_management;operations_officer;operations officer;0.43837139
Operations;5;revenue_streams;product_categories;product categories;0.407791376
Operations;5;revenue_streams;product_groups;product groups;0.415376157
Operations;5;revenue_streams;product_lines;product lines;0.433203369
Operations;5;revenue_streams;product_portfolios;product portfolios;0.431777418
Operations;1;pricing_strategy;supply_chain_initiatives;supply chain initiatives;0.409106433
Operations;1;strategic_initiatives;efficiency_initiatives;efficiency initiatives;0.501845241
Operations;1;strategic_initiatives;operational_initiatives;operational initiatives;0.574988365
Operations;4;strategic_objectives;operating_objectives;operating objectives;0.468763351
Operations;1;strategic_initiatives;productivity_initiatives;productivity initiatives;0.521220386
Performance/Internal Reporting;4;resource_allocation;assessing_performance;assessing performance;0.452142417
Performance/Internal Reporting;2;budgeting;performance_management;performance management;0.446154833
Performance/Internal Reporting;5;business_planning;reporting_functions;reporting functions;0.413502127
Performance/Internal Reporting;4;resource_allocation;performance_evaluation;performance evaluation;0.52580303
Performance/Internal Reporting;4;resource_allocation;segment_management;segment management;0.441143066
Performance/Internal Reporting;4;resource_allocation;segment_performance;segment performance;0.446424484
Performance/Internal Reporting;5;historical_cost_accounting;core_operating_earnings;core operating earnings;0.370465457
Performance/Internal Reporting;5;historical_cost_accounting;earnings_trends;earnings trends;0.371924609
Performance/Internal Reporting;5;historical_cost_accounting;profitability_measure;profitability measure;0.389687598
Performance/Internal Reporting;5;historical_cost_accounting;supplemental_performance_measure;supplemental performance measure;0.415690958
Performance/Internal Reporting;2;internal_rate_of_return;eps_target;eps target;0.406553775
Performance/Internal Reporting;2;internal_rate_of_return;performance_result;performance result;0.385220379
Performance/Internal Reporting;2;internal_rate_of_return;portfolio_results;portfolio results;0.368146151
Performance/Internal Reporting;4;financial_planning;employee_benefits_administration;employee benefits administration;0.454132915
Performance/Internal Reporting;5;cost_benefit_analysis;dashboard;dashboard;0.332140356
Performance/Internal Reporting;4;financial_planning;performance_reporting;performance reporting;0.465477943
Performance/Internal Reporting;3;operating_cycle;output_measure;output measure;0.316872895
Performance/Internal Reporting;1;performance_metrics;achievement_of_performance_goals;achievement of performance goals;0.510916352
Performance/Internal Reporting;2;internal_reporting;assess_performance;assess performance;0.433074236
Performance/Internal Reporting;2;internal_reporting;business_segment_results;business segment results;0.424055696
Performance/Internal Reporting;4;performance_targets;certain_performance_criteria;certain performance criteria;0.57497704
Performance/Internal Reporting;4;performance_targets;certain_performance_targets;certain performance targets;0.539788425
Performance/Internal Reporting;2;internal_reporting;chief_operating_decision_maker;chief operating decision maker;0.446243674
Performance/Internal Reporting;2;internal_reporting;codm;codm;0.44328928
Performance/Internal Reporting;1;performance_metrics;company_performance;company performance;0.496818572
Performance/Internal Reporting;3;track_performance;duration_targets;duration targets;0.370044202
Performance/Internal Reporting;4;performance_targets;earnings_targets;earnings targets;0.508279562
Performance/Internal Reporting;1;performance_metrics;financial_metrics;financial metrics;0.528795004
Performance/Internal Reporting;1;performance_metrics;financial_performance_metrics;financial performance metrics;0.545222282
Performance/Internal Reporting;1;performance_metrics;financial_targets;financial targets;0.499604613
Performance/Internal Reporting;2;internal_reporting;internal_financial_reporting;internal financial reporting;0.485111654
Performance/Internal Reporting;1;performance_metrics;level_of_achievement;level of achievement;0.512177944
Performance/Internal Reporting;1;performance_metrics;certain_performance_metrics;certain performance metrics;0.505624652
Performance/Internal Reporting;5;scorecard;executive_compensation_program;executive compensation program;0.414162993
Performance/Internal Reporting;1;performance_metrics;financial_performance_goals;financial performance goals;0.512379766
Performance/Internal Reporting;2;internal_reporting;management_reporting;management reporting;0.549424052
Performance/Internal Reporting;1;performance_metrics;individual_performance_goals;individual performance goals;0.501329482
Performance/Internal Reporting;2;internal_reporting;internal_management_reporting;internal management reporting;0.420102209
Performance/Internal Reporting;3;track_performance;longer_term_benefits;longer term benefits;0.37076965
Performance/Internal Reporting;4;performance_targets;market_performance_criteria;market performance criteria;0.508732915
Performance/Internal Reporting;5;scorecard;peer_group_of_companies;peer group of companies;0.392995179
Performance/Internal Reporting;1;performance_metrics;performance_periods;performance periods;0.500249028
Performance/Internal Reporting;5;scorecard;rating_system;rating system;0.401352316
Performance/Internal Reporting;2;internal_reporting;segment_profitability;segment profitability;0.431584269
Performance/Internal Reporting;4;performance_targets;operating_goals;operating goals;0.538274705
Performance/Internal Reporting;4;performance_targets;specified_performance_targets;specified performance targets;0.509594381
Performance/Internal Reporting;2;internal_reporting;performance_assessment;performance assessment;0.426071584
Performance/Internal Reporting;1;performance_metrics;performance_based_awards;performance based awards;0.507076621
Performance/Internal Reporting;1;performance_metrics;performance_condition;performance condition;0.501571536
Performance/Internal Reporting;1;performance_metrics;performance_conditions;performance conditions;0.571841657
Performance/Internal Reporting;1;performance_metrics;performance_criteria;performance criteria;0.677832365
Performance/Internal Reporting;1;performance_metrics;performance_factors;performance factors;0.504287004
Performance/Internal Reporting;1;performance_metrics;performance_goal;performance goal;0.53346467
Performance/Internal Reporting;1;performance_metrics;performance_goals;performance goals;0.636426389
Performance/Internal Reporting;1;performance_metrics;performance_measures;performance measures;0.607154667
Performance/Internal Reporting;1;performance_metrics;performance_metric;performance metric;0.528027713
Performance/Internal Reporting;2;internal_reporting;internal_reporting_structure;internal reporting structure;0.50401032
Performance/Internal Reporting;4;performance_targets;performance_milestones;performance milestones;0.503997624
Performance/Internal Reporting;1;performance_metrics;performance_objectives;performance objectives;0.567064047
Performance/Internal Reporting;1;performance_metrics;performance_target;performance target;0.494816691
Performance/Internal Reporting;2;internal_reporting;management_reporting_structure;management reporting structure;0.420544714
Performance/Internal Reporting;4;performance_targets;performance_thresholds;performance thresholds;0.539960563
Performance/Internal Reporting;1;performance_metrics;relative_total_shareholder_return;relative total shareholder return;0.544937193
Performance/Internal Reporting;1;performance_metrics;relative_tsr;relative tsr;0.500091672
Performance/Internal Reporting;2;internal_reporting;segment_reporting;segment reporting;0.485365033
Performance/Internal Reporting;4;performance_targets;specified_performance_criteria;specified performance criteria;0.54032135
Performance/Internal Reporting;4;performance_targets;specified_performance_measures;specified performance measures;0.532571733
Performance/Internal Reporting;4;performance_targets;target_awards;target awards;0.501754105
Performance/Internal Reporting;1;performance_metrics;vesting_criteria;vesting criteria;0.516916156
Performance/Internal Reporting;4;strategic_objectives;financial_goals;financial goals;0.517107666
Performance/Internal Reporting;4;strategic_objectives;financial_objectives;financial objectives;0.538205147
Performance/Internal Reporting;5;organizational_structure;segment_reporting_structure;segment reporting structure;0.487049252
Performance/Internal Reporting;2;internal_reporting;internal_reporting;internal reporting;1
Performance/Internal Reporting;1;performance_metrics;performance_metrics;performance metrics;1
Performance/Internal Reporting;4;performance_targets;performance_targets;performance targets;1
Performance/Internal Reporting;5;scorecard;scorecard;scorecard;1
Performance/Internal Reporting;3;track_performance;track_performance;track performance;1
Pricing/Revenue Management;3;planning;customer_relationship_management;customer relationship management;0.427485883
Pricing/Revenue Management;1;allocation_of_costs;allocation_of_revenue;allocation of revenue;0.315268874
Pricing/Revenue Management;4;cost_control;top_line_growth;top line growth;0.519965351
Pricing/Revenue Management;4;performance_targets;revenue_target;revenue target;0.506921768
Pricing/Revenue Management;2;product_pricing;changes_in_consumer_demand;changes in consumer demand;0.383107394
Pricing/Revenue Management;2;product_pricing;changes_in_consumer_preferences;changes in consumer preferences;0.381684929
Pricing/Revenue Management;1;pricing_strategy;channel_mix;channel mix;0.425291479
Pricing/Revenue Management;2;product_pricing;competitive_pricing;competitive pricing;0.45575875
Pricing/Revenue Management;5;revenue_streams;customer_arrangements;customer arrangements;0.481004894
Pricing/Revenue Management;5;revenue_streams;customer_base;customer base;0.378166884
Pricing/Revenue Management;3;revenue_management;customer_care;customer care;0.467996985
Pricing/Revenue Management;1;pricing_strategy;customer_mix;customer mix;0.44133845
Pricing/Revenue Management;5;revenue_streams;market_segments;market segments;0.3883259
Pricing/Revenue Management;1;pricing_strategy;marketing_strategies;marketing strategies;0.415834069
Pricing/Revenue Management;1;pricing_strategy;marketing_strategy;marketing strategy;0.431271434
Pricing/Revenue Management;1;pricing_strategy;merchandise_mix;merchandise mix;0.445367366
Pricing/Revenue Management;4;revenue_model;net_benefit_of_price_increases;net benefit of price increases;0.336799294
Pricing/Revenue Management;2;product_pricing;changes_in_customer_preferences;changes in customer preferences;0.379974484
Pricing/Revenue Management;2;product_pricing;changes_in_pricing;changes in pricing;0.371835858
Pricing/Revenue Management;2;product_pricing;disciplined_pricing;disciplined pricing;0.371673733
Pricing/Revenue Management;1;pricing_strategy;go_to_market_approach;go to market approach;0.415739089
Pricing/Revenue Management;2;product_pricing;pricing;pricing;0.560134411
Pricing/Revenue Management;1;pricing_strategy;pricing_actions;pricing actions;0.439054012
Pricing/Revenue Management;2;product_pricing;pricing_practices;pricing practices;0.381053329
Pricing/Revenue Management;1;pricing_strategy;pricing_strategies;pricing strategies;0.484066576
Pricing/Revenue Management;1;pricing_strategy;pricing_strategy;pricing strategy;1
Pricing/Revenue Management;1;pricing_strategy;pricing_structure;pricing structure;0.410965741
Pricing/Revenue Management;2;product_pricing;pricing_trends;pricing trends;0.382356048
Pricing/Revenue Management;2;product_pricing;inflationary_trends;inflationary trends;0.387468815
Pricing/Revenue Management;2;product_pricing;product_pricing;product pricing;1
Pricing/Revenue Management;2;product_pricing;promotional_programs;promotional programs;0.373225331
Pricing/Revenue Management;2;product_pricing;rebate_programs;rebate programs;0.377452105
Pricing/Revenue Management;1;pricing_strategy;service_model;service model;0.420074165
Pricing/Revenue Management;1;pricing_strategy;service_offerings;service offerings;0.415622473
Pricing/Revenue Management;4;revenue_model;recurring_revenue;recurring revenue;0.367566913
Pricing/Revenue Management;3;revenue_management;relationship_management;relationship management;0.437691599
Pricing/Revenue Management;5;revenue_streams;revenue_arrangements;revenue arrangements;0.43164584
